Velocity (rpm),Current (mA),Time (ms)
1832,31,62
1786,2986,68
2463,1930,73
2101,20,79
2165,-12,85
2381,-130,91
2304,-12,97
2165,20,102
1984,31,107
2165,-12,113
2101,20,119
1880,1060,125
2551,2513,131
2381,3993,137
2381,-12,143
2463,31,149
2304,3211,153
2101,-23,157
2101,2811,163
2463,3770,168
2041,-12,172
1984,-12,176
2381,1747,181
2551,-12,187
2463,20,193
2463,2102,199
2857,-12,205
2232,20,211
2165,4412,217
2747,-12,223
2165,2814,228
2304,3434,234
2463,-12,240
2165,3115,246
2551,20,252
2304,3134,258
2747,3340,262
2381,-2,266
2747,31,272
2304,3800,277
2463,31,282
2747,1382,288
2857,-23,292
2232,-12,296
2747,1371,301
2463,3853,306
2463,-12,312
2304,353,318
2747,3297,324
2747,2019,330
2976,665,336
2857,31,342
3247,20,348
2976,20,354
3106,20,360
3401,31,366
3106,20,371
3106,-23,376
2551,-23,382
2646,171,386
2747,1511,392
2551,31,398
3401,31,403
2976,-12,408
3106,2115,413
3247,3749,419
3106,-12,425
3106,-12,430
3106,2395,436
3106,-12,442
2646,31,447
3247,697,453
3247,2201,458
2551,20,464
3401,20,470
3106,20,475
2551,1350,481
3571,31,487
2976,31,492
3247,-12,496
3247,3630,502
2646,-12,508
2747,-12,514
3247,-25,520
3401,-12,525
2857,1156,529
3247,-12,534
3247,20,538
2551,1608,544
3401,31,550
3106,3166,555
2551,4272,560
3401,-12,566
3247,4060,570
3106,31,576
3247,1277,582
2976,4262,586
3106,-12,592
3106,-12,598
3247,3469,602
2646,2790,606
2747,-12,612
3106,439,616
3247,-12,620
3106,1565,624
3401,3867,628
2747,1919,632
2646,31,636
3247,-12,640
3571,2081,644
3401,2782,648
2747,-15,652
3106,31,656
3247,-12,660
3571,3531,664
2646,1105,668
2857,-12,672
2976,1522,676
3106,4103,680
2551,2328,684
3401,20,688
2747,-12,692
3106,2113,696
3247,-12,700
3401,2038,704
2646,-12,709
3247,3015,713
3106,-12,718
2747,1404,722
2976,-23,726
3106,3563,730
3247,-12,736
3247,2639,742
3106,4090,748
2976,4036,754
2551,2059,760
2551,31,766
3401,31,771
2976,-12,775
3247,4219,780
2551,1919,786
2747,31,792
3106,31,798
3401,3649,802
3401,598,808
3247,3015,814
3106,3598,818
3247,1049,822
2646,-12,828
3247,-23,834
2976,630,840
3247,1436,846
2976,3456,852
2976,2403,858
2551,-119,864
2646,20,870
3247,439,876
3106,3520,881
2551,1189,887
3401,31,892
3106,-12,896
3106,2414,900
2747,1277,905
2646,3523,911
2976,-12,917
2551,-12,923
2646,-23,928
2857,3265,934
3106,3555,940
2857,-12,946
2646,-12,952
3247,-12,958
3106,608,964
3106,4058,970
2976,4423,976
3247,2285,982
3571,31,988
2747,31,994
3106,1331,1000
3247,2126,1006
2976,3781,1012
2976,3394,1017
2551,1114,1022
3247,-12,1027
3401,-12,1033
2747,-12,1038
3106,-12,1044
3401,-12,1049
2857,912,1055
3106,2244,1061
3106,3641,1067
2646,-2,1073
2747,-12,1078
3247,2728,1084
3106,955,1090
2976,-12,1096
2646,-12,1102
3401,-12,1108
3401,-12,1114
3106,1124,1120
3247,1683,1126
2646,4144,1132
2747,2113,1138
3247,2911,1144
2551,-12,1148
2646,20,1153
3247,20,1158
3247,2414,1164
2551,31,1170
3401,31,1176
3106,697,1182
3247,2921,1188
2976,-12,1194
2976,-12,1200
3247,-12,1206
3401,-12,1212
2976,877,1218
3106,2929,1224
2551,4229,1230
2747,3069,1235
3247,-2,1241
3247,1683,1247
2976,1264,1252
2747,-12,1258
2976,630,1264
3247,-12,1269
2976,-442,1273
3106,3660,1279
2646,3563,1285
2551,1264,1291
3401,31,1296
2747,3950,1302
3247,2704,1308
2646,-399,1314
2747,31,1320
3247,2900,1326
3571,1825,1332
2857,3394,1338
2976,3469,1343
3247,42,1349
3247,880,1355
2747,2717,1361
3247,2199,1365
3247,2113,1371
2976,4272,1377
2747,2747,1383
2646,1436,1389
3571,31,1394
2747,3950,1400
2551,2962,1406
2551,1221,1412
2747,20,1418
3106,171,1424
3106,3072,1430
3106,2792,1435
3247,31,1441
3247,31,1447
3106,1256,1453
2857,3072,1459
3106,1030,1465
2463,-12,1470
3571,2714,1474
2747,31,1478
2976,4025,1483
3106,-12,1489
2976,1629,1495
2976,1952,1500
2646,31,1505
3247,1449,1511
2976,3330,1517
2747,-12,1524
3247,-12,1528
3401,2663,1534
2857,2846,1540
3106,998,1546
3247,-12,1552
3401,-12,1558
3247,-12,1564
3247,2166,1570
2646,1264,1575
2747,-12,1581
2976,-2,1587
3401,-12,1592
2976,-12,1598
3106,-12,1604
2646,-12,1610
3106,-12,1616
3247,-12,1621
3106,-496,1625
3247,-2,1630
2646,-12,1635
2976,-12,1641
2976,-12,1647
2551,-12,1653
3401,-12,1659
3106,909,1665
3247,-12,1671
2976,2166,1677
2747,3821,1683
2551,2285,1689
2551,31,1695
3401,20,1700
2976,3875,1706
2551,3187,1712
2646,31,1718
3106,31,1724
2551,429,1730
2976,2706,1736
2857,-2,1742
2747,3115,1747
3401,20,1752
2976,3918,1758
2747,2381,1764
2646,-474,1770
3571,-77,1775
2857,3617,1781
2747,3596,1787
2551,2682,1792
3571,2919,1798
2976,1812,1804
2551,3488,1809
3401,-12,1815
2857,-12,1820
2747,-12,1826
2551,-12,1832
2976,-2,1838
3106,-12,1843
3106,-12,1849
2747,-12,1855
3571,-12,1861
3106,-2,1866
3106,3029,1872
2976,1328,1876
2976,2510,1882
2747,2876,1888
2551,1812,1894
3571,1092,1900
2747,-12,1904
2646,-12,1910
2551,-12,1916
2646,1116,1920
2747,931,1926
3247,31,1932
3401,31,1938
2857,2223,1944
3106,3598,1950
2857,-12,1956
2646,-12,1962
3247,-12,1968
3247,-12,1974
2976,1823,1980
2976,3520,1986
2747,3821,1992
3106,-12,1996
2976,2564,2000
3247,4060,2005
2646,-453,2009
3247,3219,2015
2976,31,2021
2747,2274,2026
3106,2510,2032
3247,3381,2038
2747,1178,2044
2646,-98,2050
3247,31,2056
3571,654,2062
2857,2846,2068
3247,1299,2073
2551,20,2079
2976,31,2084
2976,3348,2090
2646,1629,2096
2646,974,2102
3106,31,2108
3247,901,2114
3571,2685,2120
2857,1898,2124
2976,641,2130
3247,4135,2134
3571,1632,2140
3401,2349,2145
2646,1522,2151
3247,31,2157
2976,31,2162
2646,2306,2168
2646,1178,2174
2551,31,2180
3401,31,2186
3106,3362,2192
3106,2567,2198
2976,-2,2204
3247,-12,2210
2551,-12,2216
3401,-12,2222
3247,-12,2227
2646,-12,2233
2551,-12,2239
2646,-12,2244
3106,3531,2248
2976,-12,2254
3247,1071,2260
2976,2779,2266
2976,4229,2272
2551,2113,2278
2646,20,2284
3247,42,2290
3247,31,2296
3106,429,2301
2747,1071,2306
3247,2586,2312
2646,2962,2318
2976,4122,2324
2747,1737,2330
2551,1930,2335
3247,-12,2340
2551,-12,2346
2747,-2,2351
3106,3437,2357
2551,-12,2363
2857,3910,2368
2747,1726,2372
2551,-12,2378
3401,-12,2384
3106,2736,2390
3247,2392,2396
3247,4101,2402
2747,-388,2408
2747,31,2414
3401,31,2420
3571,20,2425
2747,1253,2431
2646,31,2437
3571,1350,2442
2976,3477,2448
2976,1619,2454
2551,2016,2459
2976,1973,2465
2976,3939,2471
2551,3359,2477
2551,1189,2483
3401,1533,2488
3106,3373,2492
3247,31,2498
2976,2760,2504
2857,-12,2510
2976,-12,2516
2551,31,2521
2976,1492,2527
2976,2739,2532
2551,31,2538
3571,31,2544
3401,31,2549
2976,3531,2554
3247,3104,2558
3247,-2,2562
2646,965,2567
3106,3391,2572
3247,-12,2576
3401,2714,2580
3571,-12,2586
3106,3037,2592
3247,4283,2598
3247,1640,2604
2747,1361,2609
3106,3276,2613
2551,-12,2617
2551,-2,2623
2646,1653,2628
2976,364,2634
2551,-12,2639
2551,1275,2643
2646,1653,2648
2976,-12,2654
3247,2964,2659
2551,1436,2663
2646,-2,2668
2747,2414,2672
2646,2234,2677
3106,1887,2681
2976,823,2686
2747,-12,2692
2646,-12,2697
3401,3671,2701
3401,1060,2707
2976,3134,2713
3106,3896,2719
2551,1404,2725
3401,20,2731
2747,1565,2735
2857,20,2739
2551,2070,2745
2747,31,2751
3106,31,2757
3401,31,2762
2976,3735,2767
2747,3695,2772
2646,-12,2777
2551,351,2781
2551,643,2786
2857,2653,2792
3106,-12,2798
2551,-12,2804
3401,-12,2809
2976,2212,2815
3247,3587,2821
2857,-12,2827
2747,-12,2833
2646,-12,2839
3401,-12,2845
2976,1672,2851
3106,2081,2856
2646,-12,2861
3401,3950,2865
3401,-12,2870
2976,1307,2874
3106,-12,2879
2551,-12,2885
3571,-12,2890
2857,2048,2895
2551,31,2901
3401,31,2907
3401,686,2913
3106,1116,2918
3401,1210,2924
3401,31,2930
2976,31,2935
3106,3692,2941
2551,31,2947
3571,-12,2951
2747,-12,2957
2551,-12,2963
3401,-12,2969
3247,1715,2975
3106,-23,2980
3106,31,2984
3106,-12,2988
3401,2384,2994
3106,3134,2998
3247,598,3004
2976,1049,3009
2747,-12,3015
2747,-12,3021
3401,-12,3026
2646,-12,3032
2747,-2,3038
2551,-2,3044
3571,-2,3050
3106,1350,3056
3247,2929,3062
2551,3101,3068
2747,1436,3074
3106,-453,3080
3247,20,3086
3571,31,3091
2976,3391,3097
2551,2177,3102
3401,2685,3106
2646,-12,3110
2857,31,3114
2976,3878,3118
3247,1686,3124
2976,3673,3130
2747,-12,3136
2747,-12,3142
3401,-12,3148
3401,1081,3154
2976,3273,3160
2976,2865,3165
3571,-12,3171
3247,71,3177
3106,3424,3183
3106,4004,3189
2747,20,3195
2747,-12,3199
3106,31,3204
3571,880,3210
3401,31,3215
2747,1275,3221
2551,1253,3226
3401,834,3231
2976,31,3235
